iter	Passed	Remaining
0	168	168605
1	196	97855
2	205	68439
3	212	52957
4	223	44443
5	230	38127
6	239	34037
7	256	31753
8	263	29023
9	269	26703
10	288	25914
11	297	24495
12	302	23003
13	315	22218
14	329	21610
15	336	20694
16	343	19872
17	348	19036
18	355	18335
19	360	17653
20	366	17098
21	372	16538
22	378	16078
23	387	15775
24	396	15475
25	402	15081
26	411	14828
27	420	14588
28	427	14320
29	436	14128
30	446	13942
31	465	14066
32	481	14121
33	502	14278
34	510	14069
35	523	14026
36	534	13915
37	542	13729
38	552	13602
39	557	13384
40	566	13248
41	584	13335
42	598	13310
43	603	13113
44	610	12964
45	616	12778
46	647	13133
47	658	13052
48	663	12880
49	671	12762
50	681	12690
51	693	12645
52	700	12511
53	708	12413
54	717	12319
55	725	12236
56	732	12116
57	746	12131
58	755	12051
59	762	11938
60	770	11855
61	776	11742
62	822	12238
63	831	12154
64	842	12122
65	852	12063
66	862	12008
67	871	11940
68	884	11936
69	899	11954
70	912	11945
71	920	11859
72	934	11868
73	945	11831
74	952	11743
75	964	11721
76	970	11638
77	985	11650
78	994	11594
79	1000	11511
80	1011	11475
81	1025	11476
82	1033	11417
83	1055	11514
84	1065	11470
85	1073	11413
86	1081	11350
87	1089	11287
88	1097	11230
89	1106	11186
90	1156	11549
91	1169	11544
92	1181	11526
93	1234	11897
94	1244	11857
95	1251	11782
96	1259	11722
97	1278	11763
98	1289	11739
99	1296	11666
100	1316	11717
101	1327	11686
102	1341	11679
103	1353	11659
104	1363	11623
105	1374	11592
106	1404	11719
107	1435	11856
108	1448	11841
109	1455	11776
110	1484	11892
111	1494	11852
112	1501	11786
113	1514	11768
114	1528	11760
115	1542	11757
116	1555	11740
117	1566	11705
118	1577	11681
119	1638	12015
120	1647	11970
121	1654	11908
122	1661	11846
123	1707	12062
124	1737	12163
125	1745	12108
126	1760	12100
127	1806	12307
128	1853	12516
129	1867	12496
130	1874	12437
131	1924	12653
132	1982	12923
133	1998	12917
134	2012	12895
135	2019	12828
136	2042	12863
137	2050	12808
138	2064	12787
139	2077	12764
140	2091	12741
141	2098	12682
142	2102	12602
143	2109	12540
144	2142	12631
145	2158	12628
146	2167	12579
147	2178	12539
148	2190	12513
149	2206	12503
150	2217	12465
151	2221	12393
152	2231	12354
153	2250	12364
154	2257	12309
155	2269	12276
156	2279	12239
157	2321	12371
158	2378	12582
159	2386	12529
160	2391	12461
161	2393	12382
162	2401	12329
163	2451	12494
164	2458	12442
165	2463	12375
166	2482	12382
167	2491	12339
168	2514	12365
169	2521	12311
170	2534	12286
171	2538	12217
172	2548	12180
173	2573	12217
174	2582	12172
175	2588	12119
176	2600	12092
177	2615	12078
178	2631	12068
179	2639	12022
180	2644	11965
181	2650	11912
182	2666	11902
183	2677	11872
184	2680	11809
185	2688	11765
186	2696	11724
187	2712	11713
188	2720	11671
189	2726	11623
190	2741	11610
191	2747	11562
192	2750	11502
193	2759	11463
194	2763	11408
195	2767	11354
196	2773	11304
197	2790	11303
198	2793	11242
199	2794	11176
200	2795	11114
201	2797	11052
202	2799	10991
203	2801	10931
204	2803	10873
205	2804	10809
206	2812	10775
207	2815	10721
208	2817	10663
209	2819	10605
210	2826	10570
211	2830	10519
212	2831	10462
213	2833	10406
214	2834	10349
215	2835	10291
216	2837	10237
217	2845	10205
218	2848	10157
219	2849	10103
220	2851	10051
221	2858	10016
222	2859	9963
223	2860	9911
224	2861	9857
225	2862	9803
226	2863	9750
227	2864	9699
228	2866	9649
229	2866	9597
230	2871	9557
231	2872	9508
232	2873	9460
233	2874	9410
234	2876	9362
235	2876	9313
236	2877	9264
237	2879	9217
238	2879	9169
239	2880	9123
240	2885	9087
241	2886	9040
242	2887	8993
243	2888	8949
244	2889	8903
245	2889	8857
246	2890	8811
247	2890	8765
248	2891	8721
249	2892	8677
250	2894	8636
251	2895	8594
252	2896	8551
253	2899	8516
254	2901	8477
255	2903	8438
256	2905	8399
257	2906	8357
258	2906	8316
259	2907	8275
260	2908	8235
261	2914	8208
262	2914	8168
263	2915	8128
264	2917	8092
265	2919	8056
266	2921	8021
267	2923	7984
268	2930	7963
269	2932	7927
270	2932	7889
271	2934	7853
272	2935	7816
273	2935	7779
274	2937	7743
275	2938	7708
276	2942	7680
277	2945	7650
278	2947	7617
279	2949	7584
280	2951	7551
281	2952	7516
282	2954	7485
283	2956	7452
284	2958	7421
285	2960	7391
286	2962	7359
287	2963	7327
288	2966	7298
289	2967	7264
290	2972	7241
291	2973	7210
292	2974	7177
293	2976	7148
294	2978	7118
295	2979	7085
296	2979	7053
297	2981	7023
298	2985	6999
299	2988	6972
300	2990	6945
301	2992	6917
302	2994	6888
303	2995	6858
304	2996	6828
305	3000	6805
306	3002	6778
307	3004	6750
308	3006	6723
309	3007	6693
310	3008	6665
311	3011	6639
312	3011	6610
313	3013	6582
314	3015	6556
315	3016	6529
316	3018	6503
317	3020	6477
318	3024	6455
319	3026	6430
320	3030	6409
321	3032	6384
322	3034	6359
323	3036	6335
324	3038	6310
325	3040	6286
326	3046	6269
327	3049	6247
328	3050	6222
329	3052	6198
330	3054	6173
331	3055	6148
332	3059	6127
333	3066	6115
334	3068	6091
335	3070	6067
336	3071	6043
337	3075	6022
338	3076	5999
339	3078	5976
340	3080	5952
341	3081	5929
342	3083	5906
343	3085	5883
344	3086	5860
345	3089	5840
346	3091	5817
347	3092	5794
348	3094	5772
349	3096	5750
350	3098	5728
351	3098	5704
352	3100	5682
353	3101	5660
354	3105	5642
355	3107	5620
356	3108	5599
357	3110	5577
358	3111	5555
359	3112	5534
360	3114	5513
361	3115	5491
362	3117	5470
363	3122	5455
364	3123	5434
365	3125	5414
366	3127	5393
367	3128	5373
368	3130	5352
369	3132	5333
370	3135	5316
371	3137	5296
372	3139	5277
373	3140	5256
374	3142	5236
375	3143	5216
376	3145	5197
377	3146	5177
378	3148	5158
379	3152	5143
380	3154	5124
381	3156	5106
382	3158	5088
383	3160	5070
384	3162	5051
385	3166	5036
386	3168	5018
387	3169	4999
388	3171	4980
389	3172	4962
390	3174	4943
391	3175	4925
392	3177	4907
393	3179	4889
394	3181	4872
395	3182	4853
396	3184	4836
397	3186	4819
398	3187	4801
399	3189	4783
400	3191	4766
401	3192	4748
402	3194	4731
403	3195	4714
404	3197	4697
405	3198	4679
406	3200	4663
407	3202	4646
408	3203	4629
409	3207	4616
410	3209	4599
411	3210	4582
412	3212	4566
413	3214	4549
414	3215	4533
415	3217	4517
416	3219	4500
417	3223	4488
418	3224	4471
419	3226	4455
420	3228	4439
421	3230	4424
422	3232	4408
423	3233	4392
424	3235	4376
425	3238	4364
426	3240	4348
427	3242	4333
428	3244	4318
429	3246	4303
430	3247	4287
431	3249	4272
432	3253	4259
433	3254	4244
434	3256	4229
435	3258	4214
436	3259	4199
437	3261	4184
438	3262	4169
439	3264	4155
440	3268	4142
441	3270	4129
442	3272	4114
443	3274	4100
444	3276	4086
445	3278	4072
446	3280	4058
447	3283	4045
448	3285	4031
449	3288	4019
450	3291	4006
451	3293	3993
452	3296	3980
453	3298	3966
454	3299	3952
455	3301	3938
456	3302	3923
457	3303	3909
458	3304	3895
459	3306	3881
460	3307	3867
461	3311	3856
462	3313	3842
463	3314	3828
464	3315	3815
465	3317	3801
466	3319	3788
467	3321	3775
468	3322	3761
469	3326	3751
470	3328	3737
471	3330	3725
472	3332	3712
473	3334	3699
474	3336	3687
475	3338	3674
476	3342	3665
477	3345	3653
478	3347	3641
479	3349	3628
480	3351	3616
481	3353	3603
482	3357	3594
483	3359	3581
484	3361	3569
485	3363	3557
486	3365	3545
487	3367	3532
488	3368	3520
489	3372	3509
490	3373	3497
491	3375	3485
492	3376	3472
493	3378	3460
494	3379	3447
495	3381	3435
496	3382	3423
497	3383	3411
498	3387	3400
499	3388	3388
500	3390	3376
501	3391	3364
502	3392	3352
503	3394	3340
504	3396	3328
505	3398	3317
506	3402	3308
507	3403	3296
508	3405	3284
509	3406	3273
510	3408	3261
511	3409	3249
512	3411	3238
513	3412	3226
514	3413	3214
515	3417	3206
516	3419	3194
517	3420	3183
518	3422	3171
519	3423	3160
520	3425	3149
521	3427	3138
522	3428	3126
523	3429	3115
524	3431	3104
525	3433	3093
526	3435	3083
527	3437	3073
528	3439	3062
529	3441	3051
530	3442	3040
531	3448	3033
532	3451	3023
533	3453	3013
534	3455	3003
535	3457	2992
536	3458	2981
537	3461	2972
538	3464	2962
539	3465	2952
540	3467	2941
541	3469	2931
542	3470	2921
543	3472	2911
544	3477	2902
545	3478	2892
546	3479	2881
547	3481	2871
548	3482	2861
549	3484	2850
550	3485	2840
551	3486	2829
552	3488	2819
553	3492	2811
554	3493	2801
555	3495	2791
556	3497	2781
557	3498	2771
558	3499	2761
559	3501	2750
560	3502	2740
561	3503	2730
562	3507	2722
563	3509	2713
564	3511	2703
565	3512	2693
566	3514	2683
567	3515	2674
568	3517	2664
569	3519	2654
570	3521	2645
571	3523	2636
572	3524	2626
573	3526	2616
574	3528	2607
575	3529	2598
576	3531	2588
577	3532	2579
578	3537	2571
579	3542	2564
580	3543	2555
581	3545	2546
582	3546	2536
583	3547	2527
584	3552	2520
585	3554	2511
586	3555	2501
587	3557	2492
588	3558	2483
589	3560	2474
590	3561	2464
591	3565	2456
592	3567	2448
593	3568	2439
594	3570	2430
595	3572	2421
596	3573	2412
597	3575	2403
598	3579	2396
599	3580	2387
600	3582	2378
601	3583	2369
602	3585	2360
603	3586	2351
604	3587	2342
605	3589	2333
606	3590	2324
607	3594	2317
608	3596	2308
609	3597	2300
610	3599	2291
611	3601	2283
612	3602	2274
613	3603	2265
614	3605	2256
615	3609	2250
616	3611	2241
617	3613	2233
618	3614	2224
619	3615	2216
620	3617	2207
621	3618	2199
622	3620	2190
623	3623	2183
624	3625	2175
625	3626	2166
626	3629	2158
627	3630	2150
628	3632	2142
629	3633	2133
630	3634	2125
631	3636	2117
632	3638	2109
633	3640	2101
634	3643	2094
635	3648	2088
636	3650	2080
637	3652	2072
638	3654	2064
639	3655	2056
640	3657	2048
641	3659	2040
642	3660	2032
643	3664	2025
644	3667	2018
645	3669	2010
646	3671	2002
647	3672	1995
648	3674	1987
649	3676	1979
650	3677	1971
651	3682	1965
652	3684	1958
653	3686	1950
654	3688	1942
655	3689	1934
656	3691	1927
657	3693	1919
658	3698	1914
659	3700	1906
660	3702	1898
661	3703	1890
662	3705	1883
663	3706	1875
664	3708	1867
665	3712	1861
666	3713	1854
667	3715	1846
668	3716	1838
669	3717	1831
670	3719	1823
671	3720	1816
672	3722	1808
673	3723	1801
674	3727	1794
675	3729	1787
676	3731	1780
677	3733	1772
678	3734	1765
679	3736	1758
680	3737	1750
681	3738	1743
682	3741	1736
683	3743	1729
684	3745	1722
685	3746	1715
686	3748	1707
687	3749	1700
688	3751	1693
689	3754	1686
690	3756	1679
691	3757	1672
692	3759	1665
693	3760	1658
694	3762	1651
695	3764	1644
696	3765	1636
697	3766	1629
698	3771	1624
699	3773	1617
700	3774	1610
701	3777	1603
702	3779	1596
703	3780	1589
704	3781	1582
705	3785	1576
706	3787	1569
707	3788	1562
708	3790	1555
709	3792	1548
710	3794	1542
711	3795	1535
712	3796	1528
713	3800	1522
714	3802	1515
715	3804	1508
716	3806	1502
717	3808	1495
718	3810	1489
719	3811	1482
720	3816	1476
721	3818	1470
722	3820	1463
723	3824	1457
724	3825	1451
725	3826	1444
726	3829	1437
727	3831	1431
728	3833	1425
729	3834	1418
730	3838	1412
731	3840	1405
732	3841	1399
733	3842	1392
734	3846	1386
735	3848	1380
736	3850	1373
737	3852	1367
738	3853	1361
739	3855	1354
740	3856	1347
741	3862	1342
742	3864	1336
743	3865	1330
744	3867	1323
745	3868	1317
746	3870	1310
747	3871	1304
748	3873	1297
749	3876	1292
750	3878	1285
751	3880	1279
752	3881	1273
753	3883	1266
754	3884	1260
755	3886	1254
756	3887	1248
757	3890	1242
758	3892	1235
759	3893	1229
760	3895	1223
761	3897	1217
762	3898	1211
763	3900	1205
764	3902	1198
765	3903	1192
766	3907	1187
767	3909	1180
768	3910	1174
769	3911	1168
770	3914	1162
771	3916	1156
772	3918	1150
773	3920	1144
774	3923	1139
775	3924	1132
776	3926	1126
777	3930	1121
778	3932	1115
779	3933	1109
780	3937	1104
781	3938	1097
782	3939	1091
783	3941	1085
784	3942	1079
785	3944	1073
786	3946	1067
787	3947	1061
788	3948	1055
789	3952	1050
790	3954	1044
791	3955	1038
792	3957	1032
793	3959	1027
794	3960	1021
795	3962	1015
796	3963	1009
797	3965	1003
798	3968	998
799	3969	992
800	3971	986
801	3972	980
802	3973	974
803	3975	969
804	3976	963
805	3978	957
806	3981	952
807	3983	946
808	3985	940
809	3986	935
810	3988	929
811	3989	923
812	3991	918
813	3992	912
814	3994	906
815	3998	901
816	3999	895
817	4000	890
818	4002	884
819	4003	878
820	4007	873
821	4008	868
822	4009	862
823	4014	857
824	4015	851
825	4017	846
826	4019	840
827	4022	835
828	4023	830
829	4027	824
830	4028	819
831	4030	813
832	4032	808
833	4033	802
834	4035	797
835	4036	791
836	4037	786
837	4039	780
838	4043	775
839	4045	770
840	4046	765
841	4048	759
842	4049	754
843	4051	748
844	4052	743
845	4053	737
846	4057	732
847	4059	727
848	4060	722
849	4062	716
850	4063	711
851	4065	706
852	4066	700
853	4068	695
854	4071	690
855	4073	685
856	4074	679
857	4076	674
858	4078	669
859	4079	664
860	4081	658
861	4082	653
862	4083	648
863	4088	643
864	4090	638
865	4091	633
866	4093	627
867	4094	622
868	4096	617
869	4099	612
870	4103	607
871	4106	602
872	4108	597
873	4109	592
874	4111	587
875	4113	582
876	4118	577
877	4120	572
878	4122	567
879	4124	562
880	4125	557
881	4127	552
882	4129	547
883	4133	542
884	4136	537
885	4138	532
886	4139	527
887	4141	522
888	4142	517
889	4144	512
890	4154	508
891	4156	503
892	4158	498
893	4160	493
894	4166	488
895	4172	484
896	4174	479
897	4175	474
898	4180	469
899	4182	464
900	4185	459
901	4187	455
902	4197	450
903	4200	446
904	4204	441
905	4206	436
906	4211	431
907	4213	426
908	4215	422
909	4218	417
910	4227	413
911	4230	408
912	4232	403
913	4234	398
914	4239	393
915	4241	388
916	4243	384
917	4245	379
918	4247	374
919	4248	369
920	4251	364
921	4255	360
922	4257	355
923	4259	350
924	4261	345
925	4263	340
926	4265	335
927	4267	331
928	4272	326
929	4275	321
930	4280	317
931	4282	312
932	4287	307
933	4290	303
934	4292	298
935	4295	293
936	4296	288
937	4298	284
938	4303	279
939	4304	274
940	4306	270
941	4307	265
942	4310	260
943	4311	255
944	4313	251
945	4317	246
946	4319	241
947	4321	237
948	4323	232
949	4325	227
950	4327	222
951	4328	218
952	4332	213
953	4335	209
954	4337	204
955	4340	199
956	4342	195
957	4344	190
958	4348	185
959	4350	181
960	4352	176
961	4354	172
962	4356	167
963	4358	162
964	4362	158
965	4365	153
966	4366	149
967	4368	144
968	4370	139
969	4371	135
970	4373	130
971	4378	126
972	4380	121
973	4382	116
974	4384	112
975	4385	107
976	4386	103
977	4388	98
978	4389	94
979	4393	89
980	4395	85
981	4396	80
982	4398	76
983	4399	71
984	4401	67
985	4402	62
986	4404	58
987	4409	53
988	4411	49
989	4412	44
990	4414	40
991	4416	35
992	4417	31
993	4419	26
994	4423	22
995	4424	17
996	4426	13
997	4427	8
998	4429	4
999	4430	0
