iter	RMSE
0	40.52545492
1	39.21560359
2	37.88854856
3	36.8635138
4	35.73123751
5	34.64535143
6	33.520323
7	32.46316665
8	31.39841837
9	30.41976306
10	29.52471727
11	28.67935356
12	27.78483143
13	26.87401049
14	26.01533256
15	25.20675317
16	24.42354498
17	23.65759456
18	22.93674507
19	22.20355651
20	21.56430338
21	20.93339608
22	20.29053063
23	19.68729443
24	19.1468895
25	18.57514011
26	17.99358692
27	17.46856674
28	16.95558093
29	16.47145898
30	15.94637901
31	15.47457901
32	15.04591424
33	14.59578323
34	14.22263664
35	13.80445336
36	13.37589323
37	13.00365259
38	12.62545953
39	12.24336067
40	11.89831166
41	11.59800072
42	11.2751548
43	10.98651025
44	10.68618386
45	10.38488021
46	10.11613777
47	9.815224116
48	9.539292534
49	9.262748688
50	9.00677167
51	8.758230455
52	8.536829554
53	8.309212788
54	8.082256271
55	7.871484906
56	7.689233702
57	7.484831268
58	7.296675633
59	7.094810179
60	6.913038469
61	6.760397161
62	6.584531468
63	6.408587636
64	6.258461066
65	6.123996394
66	5.974037726
67	5.845389427
68	5.702019901
69	5.564706612
70	5.435875588
71	5.306447416
72	5.170650126
73	5.047750672
74	4.931600285
75	4.827408894
76	4.718453358
77	4.610664933
78	4.507637634
79	4.40649297
80	4.322657952
81	4.230945267
82	4.133737675
83	4.037127764
84	3.945541935
85	3.875815759
86	3.795555962
87	3.710457709
88	3.635061441
89	3.56158648
90	3.487536408
91	3.418397556
92	3.3601464
93	3.294429097
94	3.233957576
95	3.170770337
96	3.118466738
97	3.065867785
98	3.009237722
99	2.950584677
100	2.899511397
101	2.84735396
102	2.804524926
103	2.761312294
104	2.714604029
105	2.668018788
106	2.627946517
107	2.585099406
108	2.547179222
109	2.511000503
110	2.476366657
111	2.443018473
112	2.402415723
113	2.371259225
114	2.340703285
115	2.311866198
116	2.286110179
117	2.263436691
118	2.246281874
119	2.238066178
120	2.222123617
121	2.198717438
122	2.175895894
123	2.169121086
124	2.151415899
125	2.144579683
126	2.125397193
127	2.101959272
128	2.081496636
129	2.075910428
130	2.057197429
131	2.043260413
132	2.02300191
133	2.000655016
134	1.993429635
135	1.970851616
136	1.965170934
137	1.94984984
138	1.943727545
139	1.928534672
140	1.910802227
141	1.892701309
142	1.883099664
143	1.876849605
144	1.870461301
145	1.851837031
146	1.844513932
147	1.839276902
148	1.830088752
149	1.824228567
150	1.808195465
151	1.799193227
152	1.7827423
153	1.777149372
154	1.772721083
155	1.768256194
156	1.763664657
157	1.759324723
158	1.756005034
159	1.747531854
160	1.742888158
161	1.738150766
162	1.733069289
163	1.719112478
164	1.706106549
165	1.695321425
166	1.680194942
167	1.675663329
168	1.665141645
169	1.658363126
170	1.654268274
171	1.650646001
172	1.647397184
173	1.642921458
174	1.630955824
175	1.627780394
176	1.624479487
177	1.617609308
178	1.614435119
179	1.608811311
180	1.605347589
181	1.602344347
182	1.590807517
183	1.588103425
184	1.585391051
185	1.573891756
186	1.563744847
187	1.561197421
188	1.558463158
189	1.55598146
190	1.546617175
191	1.542742946
192	1.536226155
193	1.533792513
194	1.529512504
195	1.519642599
196	1.515015316
197	1.512667713
198	1.502230976
199	1.499682935
200	1.490920064
201	1.488790477
202	1.486477578
203	1.479603211
204	1.477399563
205	1.474917789
206	1.466157366
207	1.46392184
208	1.454901671
209	1.445056244
210	1.442789632
211	1.43559388
212	1.433507963
213	1.431308498
214	1.423210096
215	1.41682447
216	1.415141517
217	1.413600115
218	1.407595849
219	1.401417741
220	1.399601648
221	1.391212843
222	1.389797981
223	1.388310112
224	1.381770381
225	1.374853231
226	1.373532266
227	1.366127806
228	1.364527499
229	1.362196998
230	1.357306881
231	1.351189829
232	1.34408256
233	1.342842023
234	1.341606243
235	1.340469139
236	1.339211145
237	1.332304127
238	1.329513987
239	1.328387211
240	1.327090626
241	1.323088645
242	1.322083585
243	1.316264873
244	1.311645421
245	1.306323393
246	1.305380579
247	1.304455455
248	1.299421464
249	1.2983826
250	1.297364733
251	1.292687647
252	1.284845969
253	1.283802231
254	1.279972913
255	1.275967159
256	1.269790704
257	1.269004609
258	1.262724954
259	1.261839177
260	1.261091468
261	1.254083628
262	1.253239828
263	1.249814574
264	1.248939341
265	1.247228437
266	1.244339091
267	1.243675529
268	1.243024543
269	1.242385902
270	1.238503148
271	1.236949256
272	1.234084369
273	1.22787979
274	1.227292176
275	1.22656656
276	1.222890534
277	1.222337527
278	1.219634206
279	1.214156482
280	1.208963551
281	1.203733754
282	1.198837919
283	1.197510456
